GEOID20,ADJ_GEOMS
04007000037,"['04007000038', '04007000026', '04007000025', '04007000027', '04007000034']"
04007000038,"['04005000053', '04007000040', '04007000036', '04007000024', '04007000025', '04007000037', '04007000034']"
04007000039,"['04025000030', '04005000041', '04025000046', '04007000026', '04007000051', '04007000032']"
04007000040,"['04007000010', '04007000011', '04005000053', '04017000005', '04007000038', '04007000001', '04007000024']"
04007000051,"['04005000041', '04007000035', '04007000039', '04007000033', '04007000032']"
04007000054,"['04021000004', '04021000001', '04007000010', '04007000008', '04007000012']"
04009000001,"['04009000016', '04011000001', '04009000013', '04009000003', '04009000002', '04009000014', '04009000021', '04003000023', '04003000007', '04011000005', '04011000007', '04011000008']"
04009000002,"['04009000001', '04009000003', '04009000014', '04009000005', '04009000004', '04009000022']"
04009000003,"['04009000016', '04009000001', '04009000006', '04009000002', '04009000004', '04009000018', '04009000007', '04009000022']"
04009000004,"['04009000003', '04009000002', '04009000005', '04009000015', '04009000018', '04009000017']"
04009000005,"['04009000002', '04009000014', '04009000015', '04009000020', '04009000004']"
04009000006,"['04009000016', '04009000003', '04009000009', '04009000007', '04009000008']"
04009000007,"['04009000003', '04009000006', '04009000018', '04009000017', '04009000008']"
04009000008,"['04009000009', '04009000006', '04009000017', '04009000007']"
04009000009,"['04009000016', '04009000012', '04009000013', '04009000010', '04009000006', '04009000017', '04009000008']"
04009000010,"['04009000016', '04009000012', '04009000011', '04009000009']"
04009000011,"['04009000016', '04021000004', '04021000103', '04009000012', '04009000010']"
04009000012,"['04021000004', '04021000006', '04009000011', '04009000013', '04009000010', '04009000009']"
04009000013,"['04021000006', '04009000012', '04021000005', '04019000046', '04009000001', '04009000009', '04009000021', '04003000007', '04009000017', '04003000021', '04003000048', '04003000047']"
04009000014,"['04009000001', '04009000002', '04009000021', '04009000005', '04009000020']"
04009000015,"['04009000005', '04009000019', '04009000004', '04009000017']"
04009000016,"['04001000005', '04001000100', '04011000001', '04017000056', '04021000103', '04009000011', '04007000010', '04009000001', '04009000010', '04009000003', '04009000009', '04009000006']"
04009000017,"['04009000013', '04009000009', '04009000021', '04009000019', '04009000015', '04009000004', '04009000018', '04009000007', '04009000008']"
04009000018,"['04009000003', '04009000004', '04009000017', '04009000007']"
04009000019,"['04009000021', '04009000015', '04009000020', '04009000017']"
04009000020,"['04009000014', '04009000021', '04009000005', '04009000019']"
04009000021,"['04009000013', '04009000001', '04009000014', '04009000019', '04009000020', '04009000017']"
04009000022,"['04009000003', '04009000002']"
04011000001,"['04001000005', '04009000016', '04011000002', '04009000001', '04011000005']"
04011000002,"['04001000005', '04011000001', '04011000005', '04011000007', '04011000004']"
04011000003,"['04011000005', '04011000007', '04011000004', '04011000006']"
04011000004,"['04011000002', '04011000005', '04011000007', '04011000003']"
04011000005,"['04011000001', '04011000002', '04009000001', '04011000007', '04011000004', '04011000003', '04011000006']"
04011000006,"['04011000005', '04011000003']"
04011000007,"['04011000002', '04009000001', '04011000005', '04011000008', '04011000004', '04011000003']"
04011000008,"['04009000001', '04003000023', '04011000007']"
04012000051,"['04012000054', '04012000055', '04012000052']"
04012000052,"['04012000058', '04012000060', '04012000055', '04012000051']"
04012000054,"['04015000220', '04012000062', '04012000055', '04012000051']"
04012000055,"['04012000062', '04012000054', '04012000058', '04012000052', '04012000051']"
04012000056,"['04015000220', '04015000201', '04012000062', '04025000016', '04012000057', '04013000007']"
04012000057,"['04012000056', '04012000062', '04012000058', '04027000P19', '04027000P18', '04013000561', '04013000007', '04013000288', '04012000060', '04012000064']"
04012000058,"['04012000062', '04012000057', '04012000060', '04012000064', '04012000055', '04012000052']"
04012000059,"['04027000P18', '04012000060', '04012ZZZZZZ']"
04012000060,"['04012000057', '04012000058', '04027000P18', '04012000064', '04012000052', '04012000059', '04012ZZZZZZ']"
04012000062,"['04015000220', '04012000056', '04012000054', '04012000057', '04012000058', '04012000055']"
04012000064,"['04012000057', '04012000058', '04012000060']"
04012ZZZZZZ,"['04012000060', '04012000059']"
04013000001,"['04013000591', '04013000106', '04013000515', '04013000344', '04013000742', '04013000393', '04013000396']"
04013000002,"['04013000661', '04013000023', '04013000703', '04013000059', '04013000089', '04013000510', '04013000141']"
04013000003,"['04013000313', '04013000367', '04013000542', '04013000402', '04013000160', '04013000389']"
04013000004,"['04013000183', '04013000430', '04013000052', '04013000151', '04013000552']"
04013000005,"['04021000061', '04013000576', '04013000061', '04013000586', '04013000679', '04013000724']"
