GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000037,3201,558,2181,242,419,212,15,1908,525,1189,116,55,5,0,2803,520,1850,285,262,49,7,2031,414,1356,165,164,32,5,2031,414,1356,138,12,70,4,9,28
4019000153,6174,1976,2878,380,250,696,0,4635,1867,1789,324,237,437,0,5453,2213,2554,224,192,395,25,4524,2017,1946,160,155,308,16,4524,2017,1946,129,258,33,8,17,116
4019000052,5927,585,5059,126,517,104,0,3357,442,2712,18,136,14,0,5115,429,4317,155,384,59,16,3821,359,3201,103,283,50,9,3821,359,3201,72,27,119,5,5,33
4019000240,73,63,4,0,1,1,0,57,49,4,1,0,0,0,86,68,11,2,5,2,1,62,53,4,2,2,1,1,62,53,4,1,0,0,0,1,3
4019000174,5826,3514,1541,284,146,201,39,4975,3347,1165,230,100,84,0,5508,3401,1217,442,184,362,17,4820,3120,944,343,147,309,12,4820,3120,944,243,213,28,3,23,246
4019000241,2556,2124,207,0,7,225,0,1958,1676,58,0,0,182,0,2434,1876,315,67,50,134,7,2067,1652,228,52,44,93,7,2067,1652,228,41,64,14,1,5,62
4019000126,2001,1619,233,46,18,42,11,1739,1488,180,19,15,38,11,2188,1637,310,78,63,125,5,1798,1394,214,53,48,100,2,1798,1394,214,34,74,9,0,6,67
4019000059,4273,423,3584,261,77,108,0,2850,392,2199,168,10,81,0,4039,606,3069,157,268,76,20,3014,541,2205,122,186,54,13,3014,541,2205,93,35,84,7,5,44
4019000165,480,419,35,10,5,11,0,395,336,21,17,6,8,0,470,332,84,10,38,21,0,393,301,50,8,25,13,0,393,301,50,5,1,1,0,3,32
4019000172,4397,2894,853,157,48,382,0,3006,2327,491,56,2,106,0,5245,3756,795,122,86,474,14,4019,2998,526,83,59,331,7,4019,2998,526,63,275,6,0,13,138
4013000181,5894,2143,3084,312,186,280,7,4132,1944,1741,165,81,191,1,5199,1667,2675,420,239,325,15,3949,1442,1858,292,171,254,11,3949,1442,1858,224,198,78,0,17,132
4013000070,4256,3774,83,88,8,303,0,3721,3283,65,62,9,286,0,3796,3262,218,68,45,181,3,3267,2858,185,41,25,137,1,3267,2858,185,31,129,6,1,4,53
4013000442,5680,4474,367,66,24,743,21,4250,3506,176,29,26,493,0,5505,4616,374,103,59,318,9,4553,3886,264,82,48,253,0,4553,3886,264,57,213,9,0,8,116
4007000016,923,567,349,0,7,0,0,702,441,252,0,8,0,0,955,527,321,20,87,10,2,726,450,204,8,61,6,1,726,450,204,3,1,24,0,11,33
