GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2402104-001,1240,1135,53,20,23,18,1,1017,952,34,6,18,9,1,1245,1140,53,20,23,17,1,1017,952,34,1,4,4,0,3,19
2400901-004,3318,2586,104,448,91,73,18,2638,2097,65,338,67,47,7,3324,2588,104,458,92,71,17,2638,2097,65,303,28,6,4,15,120
2402124-002,1205,956,107,73,30,38,5,982,803,70,51,20,28,3,1205,956,107,73,30,38,5,982,803,70,38,24,0,0,3,44
2402124-004,27,4,14,6,11,1,0,18,4,10,1,7,0,0,27,4,14,6,11,1,0,18,4,10,0,0,0,0,0,4
2402124-005,1503,701,218,425,42,162,1,1131,585,132,285,28,126,0,1507,701,220,421,38,161,1,1131,585,132,244,104,0,0,4,62
2402124-006,38,30,6,3,3,2,0,34,29,4,1,2,1,0,38,30,6,3,3,2,0,34,29,4,0,0,0,0,0,1
2402109-005,1913,1673,99,54,37,48,2,1483,1327,61,34,20,35,1,1914,1674,99,55,37,48,2,1483,1327,61,25,19,5,1,4,41
2402109-004,4645,3952,261,131,91,192,4,3589,3139,150,84,73,120,3,4648,3954,261,134,94,195,4,3589,3139,150,62,79,7,1,12,139
2402108-001,2597,2262,93,87,76,71,4,2059,1812,76,67,51,45,0,2600,2265,93,87,78,71,4,2059,1812,76,51,25,2,0,7,86
2402116-001,4375,3800,186,150,90,131,9,3374,2992,98,96,57,101,7,4377,3802,186,153,89,132,9,3374,2992,98,68,64,5,3,7,137
2402102-003,4219,3075,391,567,127,116,12,3655,2860,277,359,97,91,7,4233,3079,393,573,121,113,13,3655,2860,277,293,51,13,1,17,143
2402109-007,6957,5378,478,402,139,508,15,5002,4049,279,236,88,304,11,6957,5378,478,402,139,508,15,5002,4049,279,183,235,2,2,14,238
2402109-006,5114,3654,382,493,98,484,16,3635,2743,221,313,54,304,14,5115,3655,382,500,99,486,16,3635,2743,221,254,252,4,1,9,151
2402107-001,3098,2279,247,246,36,288,8,2424,1885,149,165,25,193,5,3101,2280,247,249,36,289,8,2424,1885,149,140,175,3,0,9,63
2402107-007,1213,705,133,146,30,219,2,823,506,79,98,14,124,1,1213,705,133,146,30,219,2,823,506,79,75,117,2,0,3,41
2400903-001,3183,2294,210,491,112,117,17,2519,1921,132,321,74,83,13,3188,2298,211,488,109,117,17,2519,1921,132,271,48,3,8,11,125
2402121-002,2629,1740,224,430,40,187,4,2019,1417,144,275,28,134,2,2633,1741,224,438,40,189,4,2019,1417,144,239,111,1,0,7,100
2402102-008,8732,3240,2693,1978,241,752,8,6569,2818,1717,1430,171,558,1,8744,3242,2697,1998,159,767,8,6569,2818,1717,1244,508,18,1,27,236
2402121-003,1664,1272,113,129,23,127,3,1338,1052,76,96,14,100,2,1664,1272,113,129,23,127,3,1338,1052,76,84,85,0,0,11,30
2402101-002,7339,3527,1260,1818,145,711,19,5282,2801,784,1138,92,493,14,7344,3529,1261,1815,134,717,19,5282,2801,784,1002,427,7,4,26,231
2403304-001,2502,1237,244,924,108,55,2,2086,1107,159,727,87,43,2,2505,1238,244,921,108,53,2,2086,1107,159,649,27,8,1,18,117
2403320-005,3888,311,1953,1514,185,178,3,2949,291,1321,1235,130,159,3,3892,311,1954,1518,152,177,3,2949,291,1321,1134,146,1,1,10,45
2403320-001,5069,405,2155,2348,173,204,4,3892,384,1478,1924,113,155,2,5074,405,2156,2355,160,204,4,3892,384,1478,1775,141,4,1,22,87
2403301-004,4511,822,2160,1000,137,574,15,3468,743,1484,784,108,473,14,4518,824,2162,999,119,577,14,3468,743,1484,706,421,10,2,10,92
