GEOID20,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2403108-007,4858,2954,515,700,91,646,7,3860,2469,338,519,68,478,4,4859,2955,515,699,90,643,7,3860,2469,338,461,429,6,2,19,136
2403107-019,6132,4309,478,285,49,945,11,4247,3071,320,179,45,605,6,6133,4310,478,283,49,945,11,4247,3071,320,131,538,1,2,29,155
2403107-005,2813,2217,175,186,30,178,7,2105,1677,120,135,20,128,4,2813,2217,175,186,30,178,7,2105,1677,120,102,97,3,4,13,89
2403113-065,3395,1073,559,1289,90,460,6,2795,994,421,1009,79,358,4,3398,1073,559,1275,48,464,6,2795,994,421,926,315,4,2,15,118
2403106-008,2570,963,123,103,20,1358,1,1985,770,97,69,12,1030,1,2572,965,123,103,19,1367,1,1985,770,97,54,984,0,0,6,74
2404508-002,3037,2599,109,172,36,128,3,2415,2103,62,124,26,99,3,3039,2601,109,172,36,127,3,2415,2103,62,106,80,0,0,4,60
2404508-003,488,376,22,76,6,3,0,395,313,8,62,2,3,0,488,376,22,76,6,3,0,395,313,8,55,3,0,0,3,13
2403903-001,1417,1018,105,219,42,26,0,1142,844,63,182,28,20,0,1422,1023,105,219,41,26,0,1142,844,63,178,15,5,0,3,34
2402501-007,2772,2172,290,176,91,63,9,2258,1856,167,119,66,47,5,2776,2174,290,173,89,63,9,2258,1856,167,98,25,8,0,2,102
2402506-002,3341,2335,194,612,73,158,12,2605,1867,122,448,43,121,9,3347,2337,194,608,73,158,11,2605,1867,122,406,93,5,5,14,93
2402503-012,3474,2789,206,263,57,174,3,2718,2247,134,178,43,118,2,3475,2790,206,264,57,174,3,2718,2247,134,152,97,1,0,6,81
2451003-002,1283,349,46,778,20,93,2,1056,322,41,604,13,82,2,1312,355,47,794,15,90,1,1056,322,41,582,77,1,0,3,30
2451027-044,1497,1259,47,80,11,85,4,1181,1017,31,63,7,57,3,1497,1259,47,80,11,85,4,1181,1017,31,43,40,2,0,5,43
2403113-020,2789,2233,199,177,36,123,2,1906,1520,127,124,24,91,0,2789,2233,199,177,36,123,2,1906,1520,127,97,71,2,0,27,62
2403105-010,4210,655,640,2657,95,283,3,3179,533,460,1986,80,208,3,4220,655,641,2639,79,282,2,3179,533,460,1889,171,11,1,27,87
2403113-022,8623,1177,5219,1772,445,460,15,6242,1008,3547,1337,295,356,11,8631,1178,5223,1765,350,463,15,6242,1008,3547,1181,321,8,0,36,141
2403113-046,3155,1587,666,318,60,514,9,2465,1300,472,245,50,390,8,3157,1587,666,315,58,513,9,2465,1300,472,206,359,4,5,17,102
2403108-008,4244,2428,441,400,66,940,2,3283,1960,300,282,51,711,2,4245,2429,441,400,65,940,2,3283,1960,300,243,660,0,0,14,106
2403113-042,2164,803,731,381,49,244,2,1640,615,540,276,44,199,2,2165,803,731,384,49,244,2,1640,615,540,239,174,5,1,21,45
2403113-049,2766,605,626,1206,78,369,7,2268,574,459,948,52,299,3,2769,605,626,1199,39,368,3,2268,574,459,872,275,0,0,20,68
2403107-025,3664,2128,305,386,40,772,11,2773,1690,216,280,28,534,8,3664,2128,305,386,40,772,11,2773,1690,216,258,479,1,6,13,110
2400307-012,1617,1359,108,31,37,66,2,1295,1112,77,26,24,44,2,1619,1361,108,32,37,70,2,1295,1112,77,12,27,3,1,6,57
2400307-022,3036,2618,131,115,49,119,6,2295,2026,73,77,29,81,4,3036,2618,131,115,49,119,6,2295,2026,73,57,56,4,0,7,72
2400306-002,2411,1971,218,108,57,76,2,1905,1630,123,65,33,53,1,2415,1972,218,105,54,76,2,1905,1630,123,43,34,6,1,5,63
2404508-001,1793,1510,54,190,23,21,5,1431,1234,25,138,17,15,1,1804,1514,54,202,21,22,5,1431,1234,25,121,12,0,0,3,36
2404508-004,1730,1229,119,255,46,98,1,1466,1113,80,176,30,75,1,1732,1231,119,251,42,98,1,1466,1113,80,138,68,7,0,8,52
2403908-002,585,472,33,57,17,11,3,477,402,17,37,13,7,0,587,473,33,56,17,8,2,477,402,17,34,6,2,0,0,16
2403907-001,2521,1426,160,880,49,43,3,1886,1183,81,576,29,27,1,2547,1429,160,901,43,43,3,1886,1183,81,544,20,1,0,6,51
2404505-009,496,421,18,48,10,9,1,387,335,10,35,7,7,1,499,423,18,47,10,9,1,387,335,10,28,4,1,0,0,9
2404505-008,1615,1253,99,204,22,34,4,1324,1065,66,142,18,24,2,1619,1254,99,209,22,34,4,1324,1065,66,133,20,3,2,7,28
2404505-007,1762,1441,43,159,44,64,16,1423,1204,25,102,36,46,13,1767,1444,44,173,44,67,16,1423,1204,25,88,26,3,1,8,68
2404510-002,99,76,5,15,4,0,0,84,71,4,7,2,0,0,99,76,5,15,4,0,0,84,71,4,5,0,0,0,0,4
2404510-003,807,723,16,47,12,6,1,611,559,8,32,6,6,1,807,723,16,47,12,6,1,611,559,8,20,2,0,0,0,22
2400502-013,4652,435,304,3794,66,130,7,3764,411,210,3030,61,103,6,4670,435,304,3789,60,130,7,3764,411,210,2891,94,3,1,25,129
2451008-003,2210,77,49,2071,23,24,2,1619,58,23,1521,19,18,2,2246,77,49,2084,21,22,1,1619,58,23,1489,14,3,0,6,26
2451021-004,717,247,27,407,12,28,0,628,232,20,345,12,24,0,725,250,27,410,11,28,0,628,232,20,329,19,5,0,2,21
2451025-013,1552,575,358,547,67,42,13,1096,446,227,366,55,31,9,1576,587,361,550,56,39,13,1096,446,227,330,21,3,0,4,65
2451011-001,2212,1206,183,538,32,280,2,2108,1164,170,503,27,261,2,2215,1207,183,537,30,280,2,2108,1164,170,438,231,9,0,8,88
2451009-015,2405,31,48,2310,24,13,4,1767,27,25,1700,23,13,4,2455,31,48,2363,18,13,4,1767,27,25,1671,0,10,0,8,26
2402314-002,1278,1218,11,12,31,6,4,1032,992,7,6,24,3,4,1280,1220,11,12,31,6,4,1032,992,7,5,0,1,0,0,27
2404318-003,4574,2856,344,991,94,320,11,3502,2332,222,667,60,225,6,4583,2857,344,985,89,322,8,3502,2332,222,583,216,2,0,13,134
2404309-001,2901,2657,82,70,82,34,7,2298,2128,46,54,61,21,7,2901,2657,82,70,82,34,7,2298,2128,46,27,11,1,0,1,84
2401708-004,7871,2019,489,5012,218,384,26,5833,1730,294,3506,160,258,23,7878,2019,489,5014,216,384,26,5833,1730,294,3241,204,37,8,35,284
2401313-001,10782,8896,842,359,223,394,15,8083,6850,528,253,152,265,10,10792,8906,842,358,220,395,15,8083,6850,528,187,182,9,0,25,302
2401305-001,4468,3736,178,292,71,198,10,3458,2959,134,200,55,115,7,4468,3736,178,292,71,198,10,3458,2959,134,169,88,6,0,3,99
2404515-003,982,848,15,98,13,8,0,785,685,7,75,10,7,0,984,850,15,98,12,7,0,785,685,7,73,3,0,0,0,17
2404515-001,2100,1543,77,403,44,38,2,1635,1231,52,286,33,32,2,2106,1543,77,410,44,38,2,1635,1231,52,266,20,4,0,1,61
2404515-002,380,295,8,66,5,4,0,280,222,8,42,4,2,0,381,296,8,66,5,4,0,280,222,8,41,2,0,0,0,7
2401302-001,1909,1758,40,22,47,32,0,1513,1416,28,17,29,18,0,1909,1758,40,22,47,32,0,1513,1416,28,14,14,0,0,3,38
2401310-001,1326,1213,34,56,13,8,1,1049,974,23,37,11,7,1,1329,1216,34,56,13,8,1,1049,974,23,29,1,2,0,0,20
2401706-001,2999,1853,181,778,103,135,15,2397,1538,109,593,81,99,8,3005,1856,181,774,100,134,15,2397,1538,109,523,62,29,1,19,116
2404506-001,954,837,24,60,15,25,5,781,703,10,37,13,22,3,956,839,24,60,15,25,5,781,703,10,24,14,0,1,3,26
2404516-005,2674,1175,161,1065,60,240,7,1877,886,107,691,43,164,1,2694,1179,162,1076,55,242,7,1877,886,107,637,149,1,0,8,89
2404516-006,493,398,17,55,9,11,1,463,391,11,43,7,9,1,494,398,17,57,9,11,1,463,391,11,41,9,0,0,0,11
2404516-002,612,458,41,84,16,11,2,470,367,23,60,10,7,2,615,460,41,89,17,11,2,470,367,23,51,4,1,0,2,22
2404514-002,1674,1407,86,105,35,33,0,1284,1110,53,60,22,26,0,1679,1412,86,105,35,33,0,1284,1110,53,52,23,2,0,1,43
2404514-001,436,377,11,18,13,16,1,349,305,10,9,11,13,1,439,379,11,18,14,16,1,349,305,10,9,12,0,1,0,12
2404509-005,689,405,33,180,7,75,1,560,356,23,126,7,54,0,689,405,33,180,7,75,1,560,356,23,111,54,0,0,2,14
2404509-006,4452,3309,128,632,73,316,12,3454,2634,81,466,62,226,6,4459,3315,128,630,73,317,12,3454,2634,81,407,214,4,2,10,102
2404509-091,5,4,0,0,0,0,0,2,2,0,0,0,0,0,5,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0
2451008-010,3594,67,135,3385,44,17,5,2807,54,100,2642,39,11,2,3652,69,135,3415,38,14,2,2807,54,100,2570,6,15,0,11,51
2451009-013,658,17,28,605,8,4,1,506,16,23,461,5,3,0,679,18,28,623,9,4,1,506,16,23,452,3,5,0,0,7
2451027-028,1541,36,19,1479,16,14,0,1212,30,12,1159,12,10,0,1557,36,19,1486,16,14,0,1212,30,12,1125,6,4,0,6,29
2400504-005,4093,1858,428,1452,76,327,13,3100,1598,296,920,59,255,9,4100,1860,428,1452,70,324,10,3100,1598,296,843,228,7,2,8,118
2404505-006,2296,1434,156,538,41,143,3,1845,1221,93,392,32,111,1,2310,1439,156,546,34,143,3,1845,1221,93,360,98,6,1,6,60
2404505-005,5746,3521,662,1163,125,312,8,4639,3043,418,881,80,233,6,5768,3532,663,1175,106,318,8,4639,3043,418,793,220,3,1,26,135
2404505-002,1333,678,109,496,38,32,0,1003,567,58,345,29,21,0,1337,680,109,494,32,32,0,1003,567,58,319,17,3,0,1,38
2401103-001,7660,5591,357,1390,190,205,14,5766,4417,209,935,120,116,11,7682,5600,357,1393,183,202,10,5766,4417,209,857,91,23,1,10,158
2401106-001,2118,1798,77,182,53,17,7,1732,1478,43,149,45,17,4,2124,1803,77,184,53,17,7,1732,1478,43,134,9,0,2,2,64
2401707-004,4994,882,343,3628,128,205,31,3654,748,194,2568,83,138,23,5007,883,344,3566,116,199,31,3654,748,194,2421,107,12,13,17,142
2402502-019,1698,714,250,597,65,123,16,1200,547,151,396,38,86,11,1698,714,250,597,65,123,16,1200,547,151,337,73,2,0,14,76
2404325-002,5286,3195,454,1397,116,175,14,3854,2544,269,871,90,112,8,5317,3210,456,1384,105,171,14,3854,2544,269,733,93,10,0,22,183
2404313-001,3816,3473,104,127,75,42,8,3060,2837,57,81,54,28,5,3819,3476,104,121,73,42,8,3060,2837,57,57,21,7,2,0,79
2401104-001,3831,3043,161,517,52,53,1,3010,2441,73,418,41,34,1,3840,3050,161,518,50,52,1,3010,2441,73,388,19,3,0,7,79
2404303-002,1988,1287,199,445,66,28,4,1492,1052,115,258,49,22,3,2005,1297,200,441,62,26,4,1492,1052,115,220,12,5,1,7,80
2402504-008,12,9,1,0,0,2,0,5,5,0,0,0,0,0,12,9,1,0,0,2,0,5,5,0,0,0,0,0,0,0
2402504-004,3550,3173,91,90,89,72,0,2823,2560,56,66,63,47,0,3555,3176,91,92,91,71,0,2823,2560,56,50,26,3,0,14,114
2402505-002,3077,2792,82,53,78,34,4,2530,2311,68,42,64,18,4,3082,2796,82,56,78,35,4,2530,2311,68,40,8,4,3,5,91
2401704-002,2558,1967,122,311,112,67,6,1970,1526,69,240,92,43,3,2560,1968,122,313,112,64,6,1970,1526,69,204,27,20,1,4,119
2402505-003,3614,3292,62,72,99,53,4,2860,2633,50,46,72,35,3,3618,3296,62,72,99,52,4,2860,2633,50,38,21,4,1,0,113
2402505-001,3476,3179,67,97,71,42,1,2819,2612,50,69,67,18,0,3481,3183,67,100,72,45,1,2819,2612,50,57,9,9,0,3,79
2402502-010,4442,2084,504,1551,104,245,12,3582,1789,379,1182,85,174,6,4463,2091,505,1565,94,245,11,3582,1789,379,1074,130,6,0,17,187
2402501-017,731,624,28,26,7,39,2,568,507,13,15,2,20,1,731,624,28,26,7,39,2,568,507,13,11,17,0,1,4,15
2402501-003,3129,1288,476,1272,93,66,3,2232,1063,275,828,57,49,3,3146,1294,476,1251,89,68,3,2232,1063,275,760,34,4,1,5,90
2402501-020,5702,2406,378,2529,122,359,10,4310,1999,271,1743,90,276,4,5711,2408,378,2504,117,357,10,4310,1999,271,1588,226,15,4,27,180
2402102-014,3472,1705,494,826,86,404,10,2568,1390,326,548,55,276,9,3472,1705,494,826,86,404,10,2568,1390,326,458,239,10,4,18,123
2400902-001,4668,3462,205,760,123,135,11,3569,2670,134,607,93,81,6,4671,3465,205,761,123,135,11,3569,2670,134,543,56,12,1,3,150
2400902-006,3184,2464,117,415,51,109,10,2430,1924,76,307,47,70,6,3184,2464,117,415,51,109,10,2430,1924,76,286,52,5,4,1,82
2400902-003,3451,2753,150,310,100,136,16,2686,2172,89,246,70,108,3,3456,2758,150,308,98,135,16,2686,2172,89,207,63,7,1,9,138
2400304-010,1743,1177,85,359,17,109,3,1486,1057,53,278,13,84,1,1743,1177,85,359,17,109,3,1486,1057,53,262,72,3,0,9,30
2400304-018,4010,2066,281,1222,91,386,21,3097,1741,198,860,68,255,10,4013,2068,281,1222,84,385,20,3097,1741,198,780,210,13,2,29,124
2400304-023,5009,2993,330,1048,105,584,27,3583,2247,214,700,70,372,14,5010,2993,330,1048,103,586,27,3583,2247,214,618,288,15,0,21,180
2400304-006,5083,775,359,3654,75,327,9,4028,705,266,2782,63,279,6,5090,777,359,3628,68,326,9,4028,705,266,2634,245,7,1,33,137
2400304-025,718,174,361,146,18,29,1,476,148,216,82,13,21,0,719,174,361,156,12,31,1,476,148,216,81,20,2,0,0,9
2400304-099,6,1,3,0,1,1,0,3,1,1,0,1,0,0,6,1,3,0,1,1,0,3,1,1,0,0,1,0,0,0
2400302-003,3132,1652,650,574,79,208,18,2375,1358,416,397,73,149,16,3137,1653,650,566,74,208,18,2375,1358,416,325,119,9,12,17,119
2400306-030,2221,1863,83,160,27,65,1,1861,1587,52,129,20,53,1,2222,1863,83,176,30,71,1,1861,1587,52,112,38,0,1,8,63
2400305-022,2961,2407,182,116,60,150,8,2188,1814,113,77,49,98,7,2963,2408,182,117,60,150,8,2188,1814,113,61,60,1,4,20,115
2400902-007,3064,2580,90,138,72,150,12,2311,2018,65,88,39,86,7,3067,2583,90,139,71,159,13,2311,2018,65,59,54,3,4,6,102
2402115-001,3967,3585,151,61,78,74,1,3217,2953,91,42,63,52,1,3972,3590,151,60,77,76,1,3217,2953,91,26,42,8,0,8,89
2402102-002,1978,1313,198,361,48,76,4,1694,1182,132,295,35,59,2,1984,1315,199,368,43,76,4,1694,1182,132,266,40,1,0,7,66
2403314-005,2279,1113,317,686,84,152,14,1778,945,216,507,66,107,10,2280,1114,317,686,84,154,11,1778,945,216,415,79,3,4,3,113
2403321-015,2764,894,513,773,36,625,6,2472,845,394,694,29,575,4,2765,894,513,770,35,625,6,2472,845,394,606,539,1,0,13,74
2402122-001,1389,1237,37,33,38,35,1,1153,1056,28,12,32,17,0,1390,1238,37,32,38,35,1,1153,1056,28,10,14,1,0,5,39
2402122-002,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2403313-009,4225,91,237,3841,72,108,9,3405,83,166,3112,57,78,6,4234,91,237,3825,67,106,9,3405,83,166,2956,70,2,1,19,108
2403303-001,1562,412,157,959,43,42,2,1278,363,101,788,38,32,2,1562,412,157,959,43,42,2,1278,363,101,713,12,6,0,10,73
2403318-016,29,0,5,26,2,0,0,24,0,4,21,2,0,0,29,0,5,26,2,0,0,24,0,4,14,0,0,0,1,5
2403317-001,5058,1170,1310,2381,163,213,21,4159,1012,927,2044,112,181,17,5068,1172,1312,2388,160,215,21,4159,1012,927,1869,129,3,3,21,195
2403317-004,6347,241,3029,3083,257,100,13,4797,213,2047,2556,196,64,11,6357,241,3030,3044,206,93,13,4797,213,2047,2347,55,2,5,21,107
2403309-001,4875,250,632,3819,103,185,13,4017,234,451,3170,74,152,12,4882,250,633,3799,96,184,13,4017,234,451,3032,132,13,0,22,133
2403319-003,2438,1605,284,325,50,195,2,1948,1329,205,248,39,146,2,2438,1605,284,325,50,195,2,1948,1329,205,205,120,3,0,8,78
2403319-098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403317-008,2799,451,343,1813,80,221,10,2513,426,241,1661,43,205,8,2800,451,343,1809,79,220,10,2513,426,241,1491,175,2,2,30,146
2403317-014,6472,597,2064,2998,288,851,13,5086,545,1381,2412,199,764,13,6481,598,2065,2967,120,851,13,5086,545,1381,2237,711,11,4,47,150
2403317-015,427,107,50,236,1,34,0,391,106,41,211,0,33,0,428,107,50,238,0,34,0,391,106,41,201,30,0,0,0,13
2403315-005,10207,409,560,9159,161,211,12,8079,380,396,7199,129,171,10,10214,409,561,9072,155,209,12,8079,380,396,6853,113,15,7,30,285
2403317-005,2485,215,1470,748,155,118,21,1912,181,1059,617,123,97,16,2491,217,1471,749,140,117,21,1912,181,1059,528,75,5,0,4,60
2403318-013,1371,17,299,1037,37,37,1,1042,13,197,817,20,22,1,1378,17,299,1038,35,37,1,1042,13,197,791,17,0,0,2,22
2403318-003,2072,17,263,1801,12,19,5,1572,14,162,1396,6,14,3,2074,17,263,1794,11,17,4,1572,14,162,1362,9,1,0,1,23
2403318-099,16,0,3,12,0,3,0,7,0,3,3,0,3,0,16,0,3,12,0,3,0,7,0,3,1,3,0,0,0,0
2403314-007,3403,529,365,2309,60,227,1,2707,450,244,1827,52,199,1,3406,529,365,2302,47,227,1,2707,450,244,1751,179,0,0,13,70
2403315-004,5081,367,179,4489,103,82,4,3932,335,111,3427,79,60,3,5087,367,179,4449,102,82,4,3932,335,111,3293,42,19,0,23,109
2403307-012,3396,59,106,3220,44,57,5,2717,48,67,2595,34,32,2,3399,59,106,3188,41,56,5,2717,48,67,2501,21,0,0,9,71
2402124-001,2346,1906,218,88,56,78,1,1867,1564,141,60,34,63,0,2346,1906,218,88,56,78,1,1867,1564,141,46,52,2,0,6,56
2403306-018,3336,191,519,2544,79,96,13,2584,180,356,1979,62,82,11,3346,192,519,2544,62,95,11,2584,180,356,1869,68,2,4,10,95
2403302-007,2429,1090,351,887,52,101,15,1924,867,239,727,47,81,13,2431,1090,351,886,50,101,14,1924,867,239,651,47,1,2,11,106
2400301-023,8053,2103,503,4872,88,563,25,7212,1875,386,4504,64,440,12,4402,1336,415,2098,77,555,23,7212,1875,386,4386,392,13,5,21,134
2400301-099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2402702-024,1949,1145,85,185,27,504,1,1480,911,56,136,14,347,0,1950,1146,85,183,27,503,1,1480,911,56,113,328,0,0,7,65
2400306-014,3905,809,938,1985,47,157,2,2699,668,596,1295,35,122,2,3930,809,940,2023,38,156,2,2699,668,596,1245,97,7,2,18,66
2400306-011,2105,1641,134,184,27,127,9,1901,1510,107,153,24,113,9,2110,1642,134,187,27,127,9,1901,1510,107,120,84,2,5,4,69
2400306-018,2617,2027,295,170,51,96,7,2356,1898,210,146,41,71,3,2620,2028,296,175,38,99,7,2356,1898,210,121,55,3,0,3,66
2402703-001,2281,1500,83,166,25,489,2,1784,1230,60,121,13,347,2,2282,1501,83,167,25,491,2,1784,1230,60,114,327,4,0,3,46
2402701-017,1434,414,95,670,52,240,10,1087,374,69,449,30,177,9,1437,416,95,652,43,238,7,1087,374,69,409,164,9,2,8,52
2402706-020,2884,1321,238,878,59,422,3,2239,1122,181,606,39,307,2,2885,1321,238,875,50,427,1,2239,1122,181,528,264,1,0,14,129
2402706-002,4815,998,718,2423,85,650,8,3460,833,446,1663,53,466,6,4819,999,718,2451,71,655,8,3460,833,446,1559,441,4,6,22,149
2400307-002,3389,2822,148,276,66,60,0,2735,2338,94,211,39,34,0,3393,2824,148,285,62,60,0,2735,2338,94,184,20,7,0,11,81
2402706-019,3632,996,376,1742,43,556,4,2767,858,262,1234,27,423,3,3644,996,376,1733,33,553,4,2767,858,262,1134,385,1,1,23,103
2402704-004,3351,2503,140,277,39,375,2,2546,1950,77,200,28,281,1,3351,2503,140,277,39,375,2,2546,1950,77,175,249,2,1,6,86
2402702-002,4251,2097,146,379,56,1571,7,3239,1743,95,264,41,1090,2,4252,2097,146,376,50,1571,7,3239,1743,95,232,1056,3,0,12,98
2400305-023,1742,1496,68,37,27,65,4,1362,1212,38,28,14,43,2,1742,1496,68,37,27,65,4,1362,1212,38,24,38,2,2,6,40
2400306-028,2196,1609,173,263,37,97,5,1756,1305,112,227,24,72,5,2201,1611,173,273,33,98,5,1756,1305,112,207,47,3,0,8,74
2402705-001,4874,2333,154,491,30,1821,4,3565,1838,103,332,21,1233,4,4874,2333,154,491,30,1821,4,3565,1838,103,304,1198,2,4,19,97
2402702-026,2788,1178,108,170,25,1297,2,2026,931,64,120,20,884,2,2789,1179,108,171,25,1308,2,2026,931,64,97,861,3,0,13,57
2402702-017,538,258,10,17,6,229,0,423,208,9,6,4,187,0,538,258,10,17,6,229,0,423,208,9,6,174,2,0,7,17
2402703-003,2985,1977,89,241,38,620,5,2320,1559,59,184,31,466,4,2985,1977,89,241,38,620,5,2320,1559,59,158,444,2,0,17,81
2402702-009,6927,1860,546,1319,70,3182,9,5235,1694,340,935,48,2232,9,6931,1861,546,1306,47,3194,9,5235,1694,340,862,2183,11,0,33,112
2403321-001,7973,3491,1121,1571,103,1767,14,7288,3275,907,1392,90,1679,13,7974,3491,1121,1572,103,1770,14,7288,3275,907,1230,1520,12,1,53,290
2403321-096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403320-006,3527,225,1436,1762,82,138,9,2677,217,958,1417,53,114,4,3533,225,1436,1753,76,139,9,2677,217,958,1316,107,1,4,13,61
2402703-002,4141,2947,157,257,50,701,11,3330,2484,87,193,39,503,4,4141,2947,157,257,50,701,11,3330,2484,87,179,467,5,0,19,89
2403320-016,585,30,98,409,4,45,1,440,29,50,327,4,34,0,586,30,98,414,4,46,1,440,29,50,303,26,0,0,6,26
2403320-004,2971,174,1378,1334,68,115,2,2232,157,889,1105,54,108,0,2975,174,1379,1341,63,115,2,2232,157,889,1025,97,5,0,11,48
2403320-017,22,0,14,7,3,3,1,18,0,10,7,3,3,1,22,0,14,7,3,3,1,18,0,10,1,0,0,0,0,7
2403303-003,8021,394,323,7194,117,227,23,6059,355,203,5373,87,167,20,8026,394,323,7134,112,224,23,6059,355,203,5126,133,14,7,27,194
2403303-005,3362,181,108,3045,59,56,10,2730,175,82,2448,46,46,6,3364,181,108,3027,59,56,10,2730,175,82,2327,23,9,2,4,108
2403303-007,669,20,10,629,4,10,2,541,20,8,505,4,9,0,671,20,10,626,3,10,2,541,20,8,484,8,0,0,2,19
2403313-015,4558,300,300,3797,63,215,5,3724,274,213,3092,48,174,2,4564,300,300,3748,60,214,4,3724,274,213,2930,145,2,0,15,145
2403313-021,2214,56,87,1984,27,116,1,1693,48,59,1521,25,82,1,2215,56,87,1973,25,116,1,1693,48,59,1460,70,1,0,7,48
2402118-003,1972,1614,101,103,54,84,2,1521,1298,57,64,38,51,2,1973,1615,101,104,53,84,2,1521,1298,57,56,37,4,0,5,64
2400104-008,2091,1823,29,168,40,29,3,1635,1464,21,96,37,14,1,2093,1825,29,168,40,29,3,1635,1464,21,71,8,5,0,3,63
2400109-000,1247,1225,5,8,10,0,0,996,979,4,5,9,0,0,1251,1229,5,8,10,0,0,996,979,4,2,0,0,0,0,11
2403314-006,1964,1039,250,502,41,162,3,1592,904,155,375,33,125,3,1965,1040,250,498,40,161,3,1592,904,155,344,99,4,2,17,67
2403317-006,4465,141,3163,1142,161,86,7,3211,115,2169,915,122,71,3,4470,141,3164,1149,118,85,6,3211,115,2169,816,52,1,0,12,46
2403301-001,6611,900,1694,2742,135,1254,15,5216,810,1211,2205,97,979,12,6612,900,1694,2743,134,1254,15,5216,810,1211,2043,934,8,0,40,170
2403318-011,3130,49,628,2479,78,30,5,2408,46,391,1986,53,22,2,3145,49,628,2482,67,30,5,2408,46,391,1890,13,4,1,7,56
2403313-002,4508,89,1183,3188,91,78,7,3462,82,775,2554,70,60,7,4528,90,1183,3154,65,75,7,3462,82,775,2425,34,3,2,31,110
2403313-019,225,5,39,173,3,12,1,166,5,26,123,2,11,1,225,5,39,173,3,12,1,166,5,26,118,11,2,0,0,4
2403319-002,6946,517,3073,2247,234,1123,14,4854,434,2098,1700,169,638,11,6950,517,3074,2255,206,1127,14,4854,434,2098,1597,540,7,0,25,153
2403312-004,6591,147,1792,4548,137,157,7,5033,105,1190,3657,103,112,5,6605,147,1793,4516,91,153,7,5033,105,1190,3502,91,8,4,20,113
2403315-006,4221,422,377,3346,100,101,10,3379,385,237,2682,80,67,10,4226,422,378,3329,94,101,10,3379,385,237,2538,47,18,2,29,123
2403706-002,3022,2607,70,186,60,93,3,2419,2098,57,127,53,79,2,3026,2610,70,191,60,94,3,2419,2098,57,101,33,1,0,12,117
2403314-002,7420,351,866,5772,76,517,6,5453,311,587,4270,53,333,3,7429,351,866,5673,65,515,6,5453,311,587,4105,289,10,0,15,136
2403320-009,2205,322,434,1418,38,61,1,1669,276,283,1088,33,41,1,2208,322,434,1413,36,60,1,1669,276,283,1034,31,3,0,2,40
2403320-020,375,9,58,275,7,35,1,303,9,42,226,6,25,1,376,9,58,277,7,35,1,303,9,42,209,15,0,0,7,21
2403313-018,2310,43,412,1846,39,21,1,1730,30,265,1432,32,16,1,2321,43,412,1834,29,16,0,1730,30,265,1377,10,0,0,9,39
2403313-001,874,11,231,642,29,8,1,672,10,148,520,24,6,1,874,11,231,642,29,8,1,672,10,148,487,4,0,0,0,23
2403314-010,2010,371,173,1353,28,139,2,1577,344,110,1025,21,105,0,2011,371,173,1354,28,139,2,1577,344,110,975,80,0,0,5,63
2403314-015,744,118,118,475,22,28,1,598,105,92,369,19,25,1,746,118,119,476,16,28,1,598,105,92,362,23,4,0,7,5
2403307-014,2388,611,310,1370,65,118,4,1876,549,201,1039,44,89,4,2389,611,310,1369,65,118,4,1876,549,201,951,67,4,1,9,94
2403307-015,2139,35,75,2019,17,44,0,1750,33,53,1649,12,31,0,2139,35,75,2019,17,44,0,1750,33,53,1576,25,3,0,0,60
2403307-023,2685,52,49,2561,43,52,3,1993,47,30,1892,28,41,2,2686,52,49,2558,42,52,2,1993,47,30,1819,32,2,0,0,63
2403307-011,5220,123,157,4884,82,122,2,4289,108,96,4021,56,90,1,5228,123,158,4874,76,121,2,4289,108,96,3900,75,6,0,10,94
2403317-011,8119,170,3719,4237,223,144,7,6140,137,2583,3402,152,120,5,8131,170,3722,4240,168,145,7,6140,137,2583,3191,103,16,1,27,82
2403307-020,448,134,20,259,5,32,0,341,117,12,187,4,22,0,448,134,20,259,5,32,0,341,117,12,182,21,0,0,3,6
2403307-022,6424,465,280,5286,61,519,6,4867,370,205,3975,47,370,4,6425,465,280,5256,59,515,6,4867,370,205,3748,348,5,3,26,162
